------------------------------------------
Auszuleihende Kunstwerke                  
------------------------------------------
Attraktivität: 94, Thema: Sonstiges, Nr: 255, Art des Kunstwerks: I, Bezeichnung: Duck Walk, Breite 217
Attraktivität: 78, Thema: Impressionismus, Nr: 32, Art des Kunstwerks: B, Bezeichnung: Wood Pigeon, Breite 8
Attraktivität: 77, Thema: Klassizismus, Nr: 12, Art des Kunstwerks: B, Bezeichnung: Royal American Magazine or Universal Repository of Instruction and Amusement vol. I, Breite 14
Attraktivität: 48, Thema: Sonstiges, Nr: 11, Art des Kunstwerks: B, Bezeichnung: Design for Phaeton no. 490, Breite 25
Attraktivität: 69, Thema: Sonstiges, Nr: 172, Art des Kunstwerks: G, Bezeichnung: Banner with staff, Breite 54
Attraktivität: 68, Thema: Klassizismus, Nr: 197, Art des Kunstwerks: G, Bezeichnung: Sugar bowl, Breite 19
Attraktivität: 73, Thema: Sonstiges, Nr: 116, Art des Kunstwerks: G, Bezeichnung: Albarello, Breite 13
Attraktivität: 74, Thema: Sonstiges, Nr: 114, Art des Kunstwerks: G, Bezeichnung: Coffee cup, Breite 6
Attraktivität: 48, Thema: Klassizismus, Nr: 1, Art des Kunstwerks: B, Bezeichnung: The Death of Lucretia from Allen's New and Impartial Roman History, Breite 8
Attraktivität: 2, Thema: Sonstiges, Nr: 91, Art des Kunstwerks: B, Bezeichnung: Edwin Booth from the series Great Americans (N76) for Duke brand cigarettes, Breite 3
Attraktivität: 77, Thema: Renaissance, Nr: 65, Art des Kunstwerks: B, Bezeichnung: Blackwork Print with Two Horizontal Panels and Five Small Motifs, Breite 5
Attraktivität: 80, Thema: Barock, Nr: 81, Art des Kunstwerks: B, Bezeichnung: Saint Gunter from Bavaria Sancta: The Life and Martyrdom of Holy Men and Women Vol. I, Breite 15
Attraktivität: 72, Thema: Sonstiges, Nr: 60, Art des Kunstwerks: B, Bezeichnung: Two friezes depicting combats between men and lions amidst rinceaux from Frises feuillages ou tritons marins à la romaine plate 4 bound in Oeuvres. Vol. IV, Breite 22
Attraktivität: 18, Thema: Sonstiges, Nr: 24, Art des Kunstwerks: B, Bezeichnung: The Domestic Monthly An Illustrated Magazine of Fashion Literature and the Fine Arts Vol. XXI No.1, Breite 20
Attraktivität: 63, Thema: Sonstiges, Nr: 110, Art des Kunstwerks: G, Bezeichnung: Two-handled bowl, Breite 16
Attraktivität: 93, Thema: Hyperrealismus, Nr: 233, Art des Kunstwerks: I, Bezeichnung: Death mask: A. Honegger, Breite 20
Attraktivität: 96, Thema: Sonstiges, Nr: 268, Art des Kunstwerks: I, Bezeichnung: Daybreak, Breite 152
Attraktivität: 78, Thema: Romantik, Nr: 111, Art des Kunstwerks: G, Bezeichnung: Cup, Breite 6
Attraktivität: 65, Thema: Sonstiges, Nr: 100, Art des Kunstwerks: B, Bezeichnung: View of Heidelberg, Breite 30
Attraktivität: 75, Thema: Pflanzen, Nr: 176, Art des Kunstwerks: G, Bezeichnung: Caster (?), Breite 13
Attraktivität: 59, Thema: Sonstiges, Nr: 62, Art des Kunstwerks: B, Bezeichnung: Cartouche with cut out central compartment set in strapwork with a bird and mask at top left and right from Strapwork Cartouches with Interlaced Band Patterns plate 15, Breite 26
Attraktivität: 71, Thema: Sonstiges, Nr: 191, Art des Kunstwerks: G, Bezeichnung: Standing cup with cover, Breite 23
Attraktivität: 77, Thema: Sonstiges, Nr: 198, Art des Kunstwerks: G, Bezeichnung: Wineglass (one of a pair), Breite 19
Attraktivität: 75, Thema: Portraits, Nr: 139, Art des Kunstwerks: G, Bezeichnung: Henry IV King of France (b. 1553 r. 1589–1610), Breite 14
Attraktivität: 66, Thema: Renaissance, Nr: 58, Art des Kunstwerks: B, Bezeichnung: Melancholia, Breite 5
Attraktivität: 72, Thema: Renaissance, Nr: 140, Art des Kunstwerks: G, Bezeichnung: Saint Michael the Archangel, Breite 157
Attraktivität: 70, Thema: Expressionismus, Nr: 45, Art des Kunstwerks: B, Bezeichnung: A California Vista No. 8909, Breite 14
Attraktivität: 32, Thema: Portraits, Nr: 56, Art des Kunstwerks: B, Bezeichnung: Annie Boyd from the Actors and Actresses series (N171) for Old Judge Cigarettes, Breite 3
Attraktivität: 66, Thema: Expressionismus, Nr: 182, Art des Kunstwerks: G, Bezeichnung: In Honor of M. Julien Girard Head Master of the Lyceum Condorcet 1892, Breite 3
Attraktivität: 4, Thema: Portraits, Nr: 29, Art des Kunstwerks: B, Bezeichnung: Card Number 229 Miss Flint from the Actors and Actresses series (N145-2) issued by Duke Sons & Co. to promote Cross Cut Cigarettes, Breite 3
------------------------------------------
Gesamtkosten: 71.061,00 €------------------------------------------
